Epoch,Num trials,Number correct,Time
0,1077,234,548.4033536710194
1,1077,447,548.5581871810136
2,1077,644,548.5552117360057
3,1077,728,548.5329733529943
4,1077,763,548.5271545499854
5,1077,739,548.5202151490084
6,1077,769,548.5193478770088
7,1077,863,548.527649177995
8,1077,890,548.5378752480028
9,1077,884,548.5324988859938
10,1077,889,548.5188699840219
11,1077,919,548.5489245690114
12,1077,935,548.5477384629776
13,1077,935,548.4965811889851
14,1077,963,548.5351699760067
15,1077,973,548.5174428939936
16,1077,992,548.5244578190031
17,1077,998,548.5512713950011
18,1077,980,548.5384388609964
19,1077,1009,548.5932925130182
20,1077,999,548.5384398160095
21,1077,1002,548.5187078690215
22,1077,1021,548.5724273209926
23,1077,1014,548.7633711130184
24,1077,1025,548.5589785180055
25,1077,1024,548.5205606040254
26,1077,1033,548.5614703850006
27,1077,1033,548.5240500250075
28,1077,1036,548.5426299499813
29,1077,1037,548.5588613569853
30,1077,1038,548.5665216449997
31,1077,1032,548.5708590419963
32,1077,1041,548.5597009799967
33,1077,1041,548.5666439530032
34,1077,1048,548.5460084430233
35,1077,1047,548.5308506680012
36,1077,1047,548.5240791430115
37,1077,1048,548.5174135940033
38,1077,1055,548.724374442012
39,1077,1054,548.5050283440214
40,1077,1047,548.4967041449854
41,1077,1053,548.5290827570134
42,1077,1055,548.5132739529945
43,1077,1061,548.5286936099874
44,1077,1057,548.5307905749942
45,1077,1062,548.5442773339746
46,1077,1060,548.5403562730062
47,1077,1050,548.5390004620131
48,1077,1061,548.585887438996
49,1077,1063,548.5005328370025
50,1077,1063,548.5329410300183
51,1077,1064,548.5355874020024
52,1077,1065,548.5298778939759
53,1077,1064,548.6934559179936
54,1077,1063,548.5116482470185
55,1077,1065,548.5332424910157
56,1077,1065,548.5531097420026
57,1077,1067,548.5458109430037
58,1077,1068,548.544198788004
59,1077,1068,548.5106457350194
60,1077,1071,548.5397115139931
61,1077,1070,548.560137248016
62,1077,1071,548.5453341650136
63,1077,1072,548.5308586960018
64,1077,1071,548.5430789529928
65,1077,1072,548.5441982740012
66,1077,1073,548.5278007800225
67,1077,1073,548.508420564991
68,1077,1072,548.7643967100012
69,1077,1072,548.5583222029964
70,1077,1073,548.5398168529791
71,1077,1073,548.5424679539865
72,1077,1073,548.5348894729977
73,1077,1074,548.5281007299782
74,1077,1072,548.5145045999961
75,1077,1072,548.5406277919828
76,1077,1074,548.5678037200123
77,1077,1072,548.564273683005
78,1077,1073,548.5306777469814
79,1077,1072,548.5386932989932
80,1077,1074,548.5539942439937
81,1077,1072,548.5586024100194
82,1077,1074,548.5259675309935
83,1077,1073,548.7276301879901
84,1077,1073,548.518833448994
85,1077,1074,548.5196542220074
86,1077,1072,548.5217794350174
87,1077,1072,548.5618987079943
88,1077,1072,548.5501050869934
89,1077,1071,548.5292563060066
90,1077,1074,548.5479863470246
91,1077,1073,548.510152553994
92,1077,1073,548.5362433520204
93,1077,1075,548.5085222729831
94,1077,1073,548.5587496999942
95,1077,1074,548.5531152279873
96,1077,1075,548.5492762789945
97,1077,1074,548.5477368030115
98,1077,1075,548.5480512889917
99,1077,1075,548.5355668760021
