Epoch,Num trials,Number correct,Time
0,1077,213,665.5317680248991
1,1077,556,664.9412926840596
2,1077,667,665.2162627847865
3,1077,656,664.8621342638507
4,1077,783,664.7915245611221
5,1077,864,665.1897349539213
6,1077,912,664.5086166332476
7,1077,953,664.7383636506274
8,1077,944,664.721517059952
9,1077,951,664.7043412909843
10,1077,976,664.9855186440982
11,1077,991,664.7372710360214
12,1077,993,664.7026304309256
13,1077,988,664.7591034411453
14,1077,1002,665.3245381847955
15,1077,1010,664.7684091990814
16,1077,1009,664.8942223829217
17,1077,1013,664.892254831735
18,1077,1017,664.5688695902936
19,1077,1021,664.6291552511975
20,1077,1021,664.6833511330187
21,1077,1030,664.7492633601651
22,1077,1034,664.7590506109409
23,1077,1038,664.6340920231305
24,1077,1037,664.65594535321
25,1077,1040,664.899597927928
26,1077,1045,664.7346334732138
27,1077,1039,664.5134586221538
28,1077,1046,664.9278038502671
29,1077,1052,664.8847528006881
30,1077,1051,664.8177043977194
31,1077,1047,664.5579301118851
32,1077,1053,664.656324647367
33,1077,1053,664.6844978737645
34,1077,1052,664.8190708551556
35,1077,1057,664.7985053211451
36,1077,1059,664.8463315051049
37,1077,1057,664.8158961958252
38,1077,1060,664.8885753238574
39,1077,1065,664.5197612592019
40,1077,1064,664.7238323772326
41,1077,1064,664.9787676339038
42,1077,1065,664.7690794980153
43,1077,1066,664.7407780778594
44,1077,1066,664.7973867570981
45,1077,1067,664.8028879528865
46,1077,1067,664.6419952199794
47,1077,1067,664.6967923850752
48,1077,1066,664.7989404350519
49,1077,1066,664.9380587870255
50,1077,1068,664.866028431803
51,1077,1068,664.6915934332646
52,1077,1068,664.684866221156
53,1077,1068,664.8372614821419
54,1077,1068,664.6457628342323
55,1077,1070,664.7063350169919
56,1077,1069,664.569449860137
57,1077,1070,664.530468347948
58,1077,1070,665.2588089350611
59,1077,1070,664.6540030748583
60,1077,1070,664.6511502079666
61,1077,1071,664.7183696860448
62,1077,1074,664.7309440472163
63,1077,1074,664.6598246642388
64,1077,1073,664.7665844410658
65,1077,1074,664.5359734031372
66,1077,1075,664.7777423309162
67,1077,1074,665.2178214327432
68,1077,1074,664.7581302672625
69,1077,1075,664.8254599333741
70,1077,1075,664.6538006933406
71,1077,1075,664.686891540885
72,1077,1075,664.7992005767301
73,1077,1075,664.5584579841234
74,1077,1076,665.1992502170615
75,1077,1075,664.5634241397493
76,1077,1074,664.7735487329774
77,1077,1076,664.7716446537524
78,1077,1074,664.6471999683417
79,1077,1075,664.6760818036273
80,1077,1076,664.8604992912151
81,1077,1076,664.7326699951664
82,1077,1075,664.6733094952069
83,1077,1076,665.4749345388263
84,1077,1077,664.6155230901204
85,1077,1076,664.7049337779172
86,1077,1077,664.6736434991471
87,1077,1077,664.6891056266613
88,1077,1077,664.8568812310696
89,1077,1077,664.7420066986233
90,1077,1077,664.5557278068736
91,1077,1077,664.7153928992338
92,1077,1077,665.0770926764235
93,1077,1077,664.5505709177814
94,1077,1077,665.0819940511137
95,1077,1077,664.7846979280002
96,1077,1077,664.6762497541495
97,1077,1077,664.7078822888434
98,1077,1077,664.5340395518579
99,1077,1077,664.3851742651314
