Epoch,Num trials,Number correct,Time
0,1077,197,544.524365067482
1,1077,514,546.3077044226229
2,1077,586,544.0352802723646
3,1077,630,544.0245360266417
4,1077,688,544.12374891527
5,1077,828,543.7275088876486
6,1077,795,543.2765448018909
7,1077,920,543.1773838810623
8,1077,875,542.7004438601434
9,1077,900,542.6622866094112
10,1077,966,541.3983329422772
11,1077,951,541.7375939469784
12,1077,1000,541.8299402464181
13,1077,972,541.9733634684235
14,1077,1013,541.8785127084702
15,1077,1019,541.7902724128217
16,1077,1015,541.9862727634609
17,1077,1031,542.1990661416203
18,1077,1036,542.7524579744786
19,1077,1032,541.7169550936669
20,1077,1043,542.2712172847241
21,1077,1046,542.871693437919
22,1077,1049,542.677910875529
23,1077,1053,542.253521092236
24,1077,1052,542.8724543973804
25,1077,1055,542.2377324998379
26,1077,1056,542.2536612935364
27,1077,1052,542.7426159549505
28,1077,1056,543.6668965108693
29,1077,1058,543.2035183645785
30,1077,1058,542.7980749476701
31,1077,1059,542.6313938573003
32,1077,1063,542.8879588153213
33,1077,1058,543.4025667812675
34,1077,1063,542.8277817927301
35,1077,1033,544.478024860844
36,1077,979,550.5919083468616
37,1077,985,542.9907675776631
38,1077,808,549.4897960349917
39,1077,894,551.1392065044492
40,1077,893,550.183208912611
41,1077,875,548.8453008215874
42,1077,970,548.6429257206619
43,1077,1030,548.9492957033217
44,1077,1049,548.5393551643938
45,1077,1037,548.3723430130631
46,1077,1045,548.3563069030643
47,1077,1053,548.0318780913949
48,1077,1062,548.8733864482492
49,1077,1054,548.3535165917128
50,1077,1057,548.5328204073012
51,1077,1066,547.7190404124558
52,1077,1071,548.6820835415274
53,1077,1065,548.4076131526381
54,1077,1066,548.2338541243225
55,1077,1069,548.5475823804736
56,1077,1072,548.1825366672128
57,1077,1070,548.4789459463209
58,1077,1068,547.7353027760983
59,1077,1074,548.2024828922004
60,1077,1070,548.7834402695298
61,1077,1072,548.267152281478
62,1077,1074,548.3588277641684
63,1077,1070,548.3633556738496
64,1077,1073,548.1629006806761
65,1077,1074,548.3883184827864
66,1077,1074,547.871400270611
67,1077,1074,548.1527629382908
68,1077,1075,547.9928095154464
69,1077,1075,548.9750142265111
70,1077,1074,549.016310652718
71,1077,1071,549.0827053748071
72,1077,1075,548.284060485661
73,1077,1075,549.4364055041224
74,1077,1073,548.2370231300592
75,1077,1075,548.3782324846834
76,1077,1075,547.9482868686318
77,1077,1075,548.5810729432851
78,1077,1076,548.3433875963092
79,1077,1073,548.7918118909001
80,1077,1072,548.9193567503244
81,1077,1076,549.1572508513927
82,1077,1076,548.316899118945
83,1077,1071,549.6338239330798
84,1077,1076,549.1367046572268
85,1077,1077,548.9351214542985
86,1077,1071,549.8008600790054
87,1077,1076,550.3068175446242
88,1077,1077,552.2335499320179
89,1077,1074,548.7642850801349
90,1077,1075,549.8056170605123
91,1077,1077,548.5248986687511
92,1077,1076,551.3632658272982
93,1077,1077,549.6557148378342
94,1077,1077,550.0773285999894
95,1077,1076,549.4277921300381
96,1077,1074,549.2614195235074
97,1077,1076,548.6221266705543
98,1077,1077,548.7402910012752
99,1077,1074,549.1496212836355
