Epoch,Num trials,Number correct,Time
0,1077,148,628.9741053003818
1,1077,449,626.9215372800827
2,1077,549,626.561882596463
3,1077,628,627.550231071189
4,1077,668,625.8101317770779
5,1077,735,624.0675832051784
6,1077,736,623.387354940176
7,1077,768,622.7987491637468
8,1077,833,620.943717604503
9,1077,875,620.1346205938607
10,1077,930,619.6716981045902
11,1077,924,618.8325279727578
12,1077,936,619.7483977787197
13,1077,982,619.9391588754952
14,1077,982,619.7597483303398
15,1077,972,620.2963305991143
16,1077,998,619.8412248920649
17,1077,1003,620.922306958586
18,1077,1009,620.0142543874681
19,1077,998,621.0033649411052
20,1077,1011,620.0474715940654
21,1077,1018,620.4318937920034
22,1077,1015,620.8653220050037
23,1077,1026,621.7286102063954
24,1077,1033,620.9943370558321
25,1077,1037,620.3223114050925
26,1077,1030,620.0105273127556
27,1077,1031,620.9849434215575
28,1077,1030,620.3337961323559
29,1077,1044,619.4638514332473
30,1077,1035,620.9580934010446
31,1077,1032,620.524820599705
32,1077,1050,620.1927073970437
33,1077,1054,621.1943707186729
34,1077,1044,620.5382986292243
35,1077,1048,619.5671056956053
36,1077,1056,620.116488546133
37,1077,1046,619.7092166915536
38,1077,1056,619.5025306139141
39,1077,1058,619.9709494244307
40,1077,1051,619.2642965316772
41,1077,1058,619.8111717365682
42,1077,1052,620.077800007537
43,1077,1059,621.3013119474053
44,1077,1063,620.0846575796604
45,1077,1060,620.5041889008135
46,1077,1066,618.6238413732499
47,1077,1066,619.2526011765003
48,1077,1068,619.2025577276945
49,1077,1065,620.5027909372002
50,1077,1066,619.6145052313805
51,1077,1069,619.8940012399107
52,1077,1067,620.5656105279922
53,1077,1070,619.5308076813817
54,1077,1067,619.049297509715
55,1077,1063,618.919290650636
56,1077,1071,618.869924403727
57,1077,1068,619.9826293569058
58,1077,1069,618.4449319951236
59,1077,1071,618.8341377992183
60,1077,1068,620.3484469670802
61,1077,1072,619.424096878618
62,1077,1073,619.1921100597829
63,1077,1070,619.4140048921108
64,1077,1075,618.453839218244
65,1077,1062,618.5336826555431
66,1077,1074,618.5830631442368
67,1077,1070,619.1001730412245
68,1077,1066,619.2412926927209
69,1077,1074,620.0324826128781
70,1077,1065,619.5117852259427
71,1077,1072,619.4074692688882
72,1077,1075,620.7049313113093
73,1077,1070,619.7088426351547
74,1077,1073,620.1956325303763
75,1077,1073,620.1814080160111
76,1077,1075,619.6647615861148
77,1077,1075,621.6336709018797
78,1077,1072,620.4213681146502
79,1077,1076,619.7700816523284
80,1077,1076,620.5603651273996
81,1077,1075,620.3711600210518
82,1077,1076,619.6409019939601
83,1077,1073,618.3172047864646
84,1077,1075,618.3258679602295
85,1077,1073,620.641276858747
86,1077,1076,619.8166383672506
87,1077,1077,619.5712470598519
88,1077,1074,620.3494746591896
89,1077,1076,620.2035978846252
90,1077,1072,619.0708375293761
91,1077,1076,620.4399016723037
92,1077,1076,620.6779690422118
93,1077,1072,619.9312751218677
94,1077,1077,620.7096550688148
95,1077,1055,621.1893693450838
96,1077,1074,620.7630283236504
97,1077,1077,621.673169804737
98,1077,1076,619.6707682367414
99,1077,1073,620.1058464124799
