Epoch,Num trials,Number correct,Time
0,1077,185,93.0239002329763
1,1077,344,92.98577212984674
2,1077,446,93.20324126887135
3,1077,646,93.39283982710913
4,1077,717,93.24671801901422
5,1077,765,93.18718645698391
6,1077,812,93.13157973904163
7,1077,821,93.10933156590909
8,1077,850,93.19618986896239
9,1077,857,93.16216257400811
10,1077,872,93.04795498913154
11,1077,879,93.1806329630781
12,1077,881,93.07424558419734
13,1077,882,93.0165753159672
14,1077,886,93.17625883105211
15,1077,892,93.23071228293702
16,1077,895,92.97463607485406
17,1077,907,93.25647403788753
18,1077,901,93.07095315493643
19,1077,915,93.14345750492066
20,1077,922,93.204621699173
21,1077,918,92.99611985799856
22,1077,921,93.06723887007684
23,1077,939,93.22714121593162
24,1077,944,93.15253584389575
25,1077,951,92.97533755586483
26,1077,951,93.2603523042053
27,1077,955,93.27733732387424
28,1077,955,93.30356994201429
29,1077,957,93.21284316200763
30,1077,958,93.03250434296206
31,1077,962,93.06525976699777
32,1077,969,93.27873359294608
33,1077,966,93.00019830814563
34,1077,973,93.2922061230056
35,1077,974,93.08613695087843
36,1077,976,93.15081440587528
37,1077,973,93.12842720281333
38,1077,978,93.06968811410479
39,1077,976,93.0744160679169
40,1077,978,93.23006881703623
41,1077,981,93.1473369281739
42,1077,983,93.14253639196977
43,1077,985,93.14671778399497
44,1077,992,93.10888740210794
45,1077,991,93.10072120907716
46,1077,996,93.22790986206383
47,1077,1000,92.99134479882196
48,1077,1002,93.20262438291684
49,1077,1004,93.09329821006395
50,1077,1001,93.10618226113729
51,1077,999,95.23347275704145
52,1077,1002,93.07252009911463
53,1077,1001,93.10463510104455
54,1077,1001,93.17152786790393
55,1077,1003,93.13717910484411
56,1077,1009,93.19910966907628
57,1077,1005,93.22261254303157
58,1077,1008,93.15631754510105
59,1077,1009,93.05777020612732
60,1077,1018,93.21726920106448
61,1077,1021,93.0368108600378
62,1077,1020,93.22793882898986
63,1077,1024,92.98247365490533
64,1077,1029,93.00984085118398
65,1077,1027,93.11341389198788
66,1077,1028,93.16543268901296
67,1077,1031,93.13214309792966
68,1077,1030,93.04018597188406
69,1077,1033,93.27566357795149
70,1077,1034,93.1984201320447
71,1077,1033,93.19700102810748
72,1077,1033,93.19836899102665
73,1077,1034,93.0601549858693
74,1077,1038,93.11073868791573
75,1077,1036,93.27618074393831
76,1077,1039,93.29504174902104
77,1077,1038,93.09737388393842
78,1077,1038,93.28913043788634
79,1077,1040,93.14421058795415
80,1077,1041,93.40037047490478
81,1077,1040,93.28336798911914
82,1077,1040,93.10023294901475
83,1077,1045,93.14072556607425
84,1077,1040,93.39433385501616
85,1077,1043,93.2465069561731
86,1077,1046,93.22054836689495
87,1077,1047,93.09875628701411
88,1077,1044,92.97913955687545
89,1077,1046,93.02812251099385
90,1077,1047,93.0213968299795
91,1077,1048,93.16049620509148
92,1077,1049,93.14784665801562
93,1077,1049,93.10666278214194
94,1077,1049,93.39801027113572
95,1077,1051,92.96889679296874
96,1077,1049,93.09068916598335
97,1077,1050,93.24457134795375
98,1077,1050,93.17160366196185
99,1077,1050,93.36251405999064
