Epoch,Num trials,Number correct,Time
0,1077,204,464.7026308370114
1,1077,473,464.8647131480102
2,1077,598,464.72305240898277
3,1077,638,464.7407708999817
4,1077,679,464.7197142049845
5,1077,778,464.72013651701855
6,1077,824,464.70600573101547
7,1077,914,464.72546213300666
8,1077,927,464.69142545500654
9,1077,969,464.70888209799887
10,1077,955,464.7201468310086
11,1077,992,464.716970576992
12,1077,1012,464.70469302800484
13,1077,1002,464.69860711199
14,1077,1023,464.7119916510128
15,1077,1031,464.700125976
16,1077,1031,464.7371603109932
17,1077,1033,464.69949398899917
18,1077,1041,464.72907652001595
19,1077,1038,464.69875663498533
20,1077,1042,464.70689132099506
21,1077,1047,464.71611911201035
22,1077,1050,464.7054579969845
23,1077,1051,464.8148179349955
24,1077,1042,465.81573070498416
25,1077,985,464.93896930100163
26,1077,927,464.8881652590062
27,1077,964,464.8769453370187
28,1077,970,464.91546808500425
29,1077,985,464.9212061050057
30,1077,1038,464.9202384639939
31,1077,1041,464.9061221089796
32,1077,1059,465.0916828089976
33,1077,1056,464.9022443139984
34,1077,1059,464.897050013009
35,1077,1056,464.9199015510094
36,1077,1065,464.8914468839939
37,1077,1067,464.9199786960089
38,1077,1058,464.91739106402383
39,1077,1066,464.9138254779973
40,1077,1072,464.8853674060083
41,1077,1068,464.8805287379946
42,1077,1067,464.8927461109997
43,1077,1071,464.8879041939799
44,1077,1072,464.89150743201026
45,1077,1062,464.8930185290228
46,1077,1067,465.0997249810025
47,1077,1069,464.89006323801004
48,1077,1070,464.89289906498743
49,1077,1066,464.91250912699616
50,1077,1072,464.8613557019853
51,1077,1072,464.8842952650157
52,1077,1074,464.8801197220164
53,1077,1074,464.8951939489925
54,1077,1074,464.8714432179986
55,1077,1072,464.9074300029897
56,1077,1075,464.91057639801875
57,1077,1069,464.90006751197507
58,1077,1073,464.8788514150074
59,1077,1076,464.91072518902365
60,1077,1076,464.92193989799125
61,1077,1075,464.89040992298396
62,1077,1075,465.0912807909772
63,1077,1076,464.87606863997644
64,1077,1074,464.88048808299936
65,1077,1072,464.8661296629871
66,1077,1076,464.88282889398397
67,1077,1077,465.09842560999095
68,1077,1074,464.89084619202185
69,1077,1073,464.9082465090032
70,1077,1076,464.8972842780058
71,1077,1074,464.9093221339863
72,1077,1076,464.90915273100836
73,1077,1076,464.8785150249896
74,1077,1076,464.9069786859909
75,1077,1077,464.91827782799373
76,1077,1076,464.91605578400777
77,1077,1075,464.9286336109799
78,1077,1077,464.8975885719992
79,1077,1077,465.05907812700025
80,1077,1074,464.9326556409942
81,1077,1076,464.8728254190064
82,1077,1076,464.9047941939789
83,1077,1076,464.89467622397933
84,1077,1076,464.9093277299835
85,1077,1076,464.9173254019988
86,1077,1076,464.90428530299687
87,1077,1077,464.91977756499546
88,1077,1076,464.8920437680208
89,1077,1077,464.91496946502593
90,1077,1077,464.91548924701056
91,1077,1076,464.8672267270158
92,1077,1076,464.91213857897674
93,1077,1077,464.93523026499315
94,1077,1076,464.89376431002165
95,1077,1076,465.05363069998566
96,1077,1076,464.8786310630094
97,1077,1076,464.9239052819903
98,1077,1076,464.916325875005
99,1077,1077,464.941890985996
