Epoch,Num trials,Number correct,Time
0,1077,227,601.1096906736493
1,1077,509,600.2067724876106
2,1077,660,600.5807542670518
3,1077,752,600.7234255671501
4,1077,783,601.7926925159991
5,1077,845,599.8843537531793
6,1077,929,601.5237591154873
7,1077,921,601.5875924769789
8,1077,947,599.9936613086611
9,1077,946,601.1744110155851
10,1077,971,601.5080354474485
11,1077,987,601.822944842279
12,1077,990,600.633113661781
13,1077,992,601.4290709085763
14,1077,997,601.623817935586
15,1077,1001,600.9234744533896
16,1077,1006,601.0776286814362
17,1077,1013,601.6640783585608
18,1077,1019,600.7290118802339
19,1077,1017,600.6704529412091
20,1077,1023,601.0300767421722
21,1077,1027,601.004360601306
22,1077,1032,600.2540496103466
23,1077,1031,600.4268676843494
24,1077,1037,600.6339286025614
25,1077,1038,601.3044061176479
26,1077,1043,601.2178146243095
27,1077,1047,600.5627601034939
28,1077,1050,600.1964587848634
29,1077,1049,600.0655216239393
30,1077,1052,599.7201005425304
31,1077,1053,599.8568345550448
32,1077,1052,599.9198876768351
33,1077,1055,600.3567122649401
34,1077,1056,600.1856919415295
35,1077,1056,599.9619481060654
36,1077,1056,600.1067221984267
37,1077,1060,600.3451657854021
38,1077,1062,600.0650348197669
39,1077,1061,600.0522970277816
40,1077,1063,600.3528920095414
41,1077,1064,600.7377203330398
42,1077,1063,600.4218487851322
43,1077,1062,599.9896549154073
44,1077,1065,600.3712082765996
45,1077,1067,600.3139782194048
46,1077,1066,600.2695689126849
47,1077,1067,600.2502648346126
48,1077,1068,600.5173442848027
49,1077,1068,600.2134956289083
50,1077,1069,600.3944484237581
51,1077,1068,600.0227396842092
52,1077,1069,600.230389656499
53,1077,1070,600.4070065952837
54,1077,1070,599.9097649492323
55,1077,1071,600.2699433770031
56,1077,1071,600.3736924007535
57,1077,1072,600.2943697292358
58,1077,1071,601.3369588870555
59,1077,1073,601.3363646548241
60,1077,1070,601.5671904142946
61,1077,1073,601.9636213239282
62,1077,1073,603.2636264208704
63,1077,1073,602.6519780270755
64,1077,1074,602.3971132207662
65,1077,1074,603.8819479066879
66,1077,1074,602.2023289967328
67,1077,1074,602.0758156105876
68,1077,1075,601.4369327221066
69,1077,1077,601.5698072761297
70,1077,1076,603.5069578848779
71,1077,1075,601.580069065094
72,1077,1077,601.6754693873227
73,1077,1077,602.2337738405913
74,1077,1077,602.5330715831369
75,1077,1077,602.9375650789589
76,1077,1076,602.2052781395614
77,1077,1077,602.8455678466707
78,1077,1077,602.8834905605763
79,1077,1077,602.301796104759
80,1077,1077,601.4673073571175
81,1077,1077,602.941927652806
82,1077,1077,602.801654772833
83,1077,1077,602.1096912231296
84,1077,1077,601.9851653464139
85,1077,1077,602.0868586786091
86,1077,1077,602.5474273078144
87,1077,1077,601.9536775872111
88,1077,1077,602.8332539331168
89,1077,1077,602.3696816731244
90,1077,1077,602.8611795511097
91,1077,1077,600.9759783931077
92,1077,1077,602.4017536267638
93,1077,1077,601.994175914675
94,1077,1077,602.9203703794628
95,1077,1077,601.9449384268373
96,1077,1077,601.0299576930702
97,1077,1077,601.8788009043783
98,1077,1077,601.0052780192345
99,1077,1077,602.076692931354
