Epoch,Num trials,Number correct,Time
0,1077,221,574.9180101584643
1,1077,495,575.7413173243403
2,1077,590,575.3731110747904
3,1077,709,574.7870427817106
4,1077,683,574.5450983829796
5,1077,870,574.9829816762358
6,1077,856,575.2625804189593
7,1077,881,575.0455981567502
8,1077,916,574.7067476660013
9,1077,945,575.101068560034
10,1077,937,575.3094363547862
11,1077,977,574.804870205
12,1077,989,575.3100657351315
13,1077,992,574.496006835252
14,1077,1002,575.2056053411216
15,1077,1009,574.5828462671489
16,1077,1022,575.5999217573553
17,1077,1021,574.7841404676437
18,1077,1022,574.627355247736
19,1077,1029,574.3499866258353
20,1077,1035,574.3601821474731
21,1077,1038,574.3597890399396
22,1077,1040,574.2978498507291
23,1077,1036,574.2782222758979
24,1077,1046,574.8915251139551
25,1077,1045,574.4353347364813
26,1077,1048,574.7700404971838
27,1077,1051,574.8089353237301
28,1077,1052,574.3819897137582
29,1077,1054,574.4552506711334
30,1077,1056,574.4359360914677
31,1077,1057,574.3205490689725
32,1077,1059,575.1290608644485
33,1077,1061,574.26156841591
34,1077,1062,574.7069284953177
35,1077,1063,574.3890685252845
36,1077,1066,574.7548654340208
37,1077,1066,574.5153986234218
38,1077,1069,574.8548667151481
39,1077,1067,574.847777357325
40,1077,1068,574.5540128331631
41,1077,1070,574.3990505803376
42,1077,1069,574.5200901571661
43,1077,1069,575.9275640323758
44,1077,1071,574.4176564104855
45,1077,1072,574.7604423984885
46,1077,1073,575.1527794133872
47,1077,1074,574.6153710018843
48,1077,1075,574.4668968915939
49,1077,1075,574.624188311398
50,1077,1074,574.8689836431295
51,1077,1075,575.0539635885507
52,1077,1076,575.4857608806342
53,1077,1075,574.596449047327
54,1077,1075,574.9083021078259
55,1077,1075,575.0216217879206
56,1077,1075,574.6201670523733
57,1077,1075,574.7291582431644
58,1077,1075,574.5699975974858
59,1077,1076,574.4899277240038
60,1077,1074,575.1975078545511
61,1077,1077,574.6751421038061
62,1077,1074,574.3051113858819
63,1077,1077,574.7098867855966
64,1077,1076,574.976419063285
65,1077,1077,574.7999784722924
66,1077,1076,574.9034083057195
67,1077,1076,575.2192402016371
68,1077,1076,575.5941050034016
69,1077,1077,575.1653854493052
70,1077,1077,575.9515307117254
71,1077,1077,575.1139465924352
72,1077,1077,574.6590066161007
73,1077,1077,575.0271943230182
74,1077,1077,575.1941218599677
75,1077,1077,575.2444167137146
76,1077,1077,575.2079800348729
77,1077,1077,574.4570817667991
78,1077,1077,575.503220943734
79,1077,1077,574.7682877611369
80,1077,1077,574.4794495310634
81,1077,1077,574.2548932619393
82,1077,1077,574.6416308619082
83,1077,1077,574.4067816846073
84,1077,1077,574.7200031019747
85,1077,1077,575.3592316173017
86,1077,1077,574.612470543012
87,1077,1077,574.5045864582062
88,1077,1077,574.5615888405591
89,1077,1077,574.447412872687
90,1077,1077,574.7313587982208
91,1077,1077,574.9824379254133
92,1077,1077,574.7296974305063
93,1077,1077,574.3957735858858
94,1077,1077,574.5116928182542
95,1077,1077,575.806460686028
96,1077,1077,575.0604827646166
97,1077,1077,574.6956343073398
98,1077,1077,574.5326679404825
99,1077,1077,574.4679587054998
