Epoch,Num trials,Number correct,Time
0,1077,210,513.70068192482
1,1077,415,515.1450194586068
2,1077,635,514.9134983643889
3,1077,668,514.3168968111277
4,1077,708,513.7678676079959
5,1077,814,513.3162283729762
6,1077,919,513.4304023645818
7,1077,927,513.9109890311956
8,1077,911,514.5019986648113
9,1077,953,513.726778531447
10,1077,985,514.7117757406086
11,1077,1007,513.2923132553697
12,1077,1015,513.3309404626489
13,1077,1022,513.2172673456371
14,1077,1027,513.0287905819714
15,1077,1034,513.155391342938
16,1077,1039,513.17020217143
17,1077,1043,513.5369703639299
18,1077,1042,513.3371532540768
19,1077,1047,513.3038658723235
20,1077,1048,513.8401148039848
21,1077,1046,513.2853924892843
22,1077,1057,513.6921372655779
23,1077,1054,512.8932540882379
24,1077,1058,513.2801514323801
25,1077,1058,513.6330497041345
26,1077,1059,514.3928248304874
27,1077,1064,513.6493300963193
28,1077,1062,513.4310603197664
29,1077,1066,513.3475613538176
30,1077,1063,513.1493519823998
31,1077,1066,513.7721113152802
32,1077,1066,513.4558990802616
33,1077,1067,513.5405320115387
34,1077,1065,513.902318816632
35,1077,1065,513.558321679011
36,1077,1064,513.8410904183984
37,1077,1051,513.5755251683295
38,1077,1052,513.7132391501218
39,1077,1051,513.6344470866024
40,1077,1068,513.8881839904934
41,1077,1064,514.900566380471
42,1077,1072,513.2243206743151
43,1077,1071,513.3781944457442
44,1077,1070,513.3961790073663
45,1077,1072,513.3067472893745
46,1077,1071,513.8812839090824
47,1077,1063,518.4177247807384
48,1077,1043,517.742764968425
49,1077,1066,517.1204638779163
50,1077,1038,516.4895265065134
51,1077,1053,516.0854658037424
52,1077,1064,516.2221805807203
53,1077,1070,516.078121561557
54,1077,1067,515.4158643744886
55,1077,1073,515.3940176386386
56,1077,1074,515.8341979831457
57,1077,1074,515.2138168476522
58,1077,1075,515.9855734482408
59,1077,1075,515.6275831926614
60,1077,1075,515.7571441493928
61,1077,1074,515.9584529120475
62,1077,1075,515.1959007512778
63,1077,1073,514.8195608071983
64,1077,1075,516.049303336069
65,1077,1077,515.8741148561239
66,1077,1073,515.8440802115947
67,1077,1075,515.5268168989569
68,1077,1076,516.4167666472495
69,1077,1076,515.6550694797188
70,1077,1074,515.4148398414254
71,1077,1075,515.7534114941955
72,1077,1075,515.7872697561979
73,1077,1074,516.5585441216826
74,1077,1077,516.2062851283699
75,1077,1076,515.7992650084198
76,1077,1076,515.5813081320375
77,1077,1075,516.436283024028
78,1077,1077,516.9894328974187
79,1077,1075,515.7368740551174
80,1077,1076,516.6654936000705
81,1077,1077,515.5908924136311
82,1077,1077,515.4099327046424
83,1077,1076,516.3712706360966
84,1077,1076,515.836343601346
85,1077,1077,516.0172748118639
86,1077,1077,515.5246445350349
87,1077,1077,515.8638571761549
88,1077,1077,516.9897526912391
89,1077,1077,516.1083609107882
90,1077,1077,515.6999173685908
91,1077,1077,515.3750079423189
92,1077,1076,515.5736441183835
93,1077,1077,515.7355051133782
94,1077,1077,515.3767491653562
95,1077,1077,514.8152085002512
96,1077,1076,515.6452096030116
97,1077,1076,515.3728445973247
98,1077,1077,515.7195577863604
99,1077,1077,515.1528373397887
