Epoch,Num trials,Number correct,Time
0,1077,175,746.2577848500005
1,1077,461,746.2665444090017
2,1077,549,746.2845897739971
3,1077,701,746.5607820829973
4,1077,691,746.2982325509947
5,1077,763,746.3215914959947
6,1077,763,746.3447251329999
7,1077,749,746.2636309409936
8,1077,803,746.2513692159991
9,1077,834,746.2417072129974
10,1077,820,746.2298364980015
11,1077,879,746.3024697969959
12,1077,892,746.3020973350067
13,1077,839,746.2953590270045
14,1077,922,746.3154480980011
15,1077,922,746.31227493599
16,1077,909,746.3255707170028
17,1077,945,746.2957814609981
18,1077,936,746.2582299809874
19,1077,966,746.3818214659987
20,1077,944,746.3441676280054
21,1077,980,746.4083908649918
22,1077,984,746.3228119889973
23,1077,968,746.2313951719989
24,1077,989,746.3140014880046
25,1077,992,746.280632658003
26,1077,971,746.3410319340037
27,1077,1001,746.3122720480023
28,1077,1000,746.3328357639984
29,1077,1002,746.2651885879895
30,1077,1008,746.2186548820027
31,1077,1008,746.3014138169965
32,1077,1007,746.2666341430013
33,1077,1016,746.2622821950063
34,1077,1013,746.1904575279914
35,1077,1023,746.2404006450088
36,1077,1020,746.2492740789894
37,1077,1015,746.2405117879971
38,1077,1013,746.198030806001
39,1077,1023,746.1921948350064
40,1077,1023,746.1912634479959
41,1077,1031,746.2283311710053
42,1077,1036,746.233952251001
43,1077,1034,746.1951698280027
44,1077,1038,746.2334122799948
45,1077,1039,746.2462593329983
46,1077,1040,746.213144125999
47,1077,1036,746.159653041992
48,1077,1041,746.1519945019973
49,1077,1041,746.078910709999
50,1077,1039,746.2341384829924
51,1077,1044,746.1777050640085
52,1077,1045,746.1515008540009
53,1077,1045,746.1594464999944
54,1077,1047,746.12992158001
55,1077,1043,746.0994788759999
56,1077,1048,746.112206662001
57,1077,1046,746.131590200006
58,1077,1047,746.1459931949939
59,1077,1045,746.1172153840016
60,1077,1054,746.0940101640008
61,1077,1049,746.1850423580036
62,1077,1050,746.1462371410016
63,1077,1056,746.1255839840014
64,1077,1055,746.131762850986
65,1077,1052,746.1083812849974
66,1077,1056,746.1096978279966
67,1077,1056,746.1529776509997
68,1077,1057,746.1051223550021
69,1077,1055,746.1129315190046
70,1077,1060,746.1805573690071
71,1077,1059,746.1581765779993
72,1077,1058,746.165799741997
73,1077,1060,746.1559114110132
74,1077,1061,746.3550432389893
75,1077,1062,746.2163009969954
76,1077,1060,746.1828288359975
77,1077,1061,746.2463576430018
78,1077,1059,746.2713865269907
79,1077,1062,746.3142564849986
80,1077,1063,746.1841905759939
81,1077,1063,746.6370053319988
82,1077,1064,746.1738829009992
83,1077,1064,746.1646298409905
84,1077,1065,746.1202841869963
85,1077,1063,746.1170847359899
86,1077,1064,746.3949845140014
87,1077,1063,746.1627214720065
88,1077,1065,746.1477868630027
89,1077,1066,746.1444903980009
90,1077,1065,746.1753871499968
91,1077,1065,746.1898869300057
