Epoch,Num trials,Number correct,Time
0,1077,181,667.8017361522652
1,1077,489,667.5419381088577
2,1077,632,667.3096217541024
3,1077,722,667.6403941842727
4,1077,767,666.6849438296631
5,1077,831,669.4884462719783
6,1077,888,667.1975634419359
7,1077,952,666.9989244900644
8,1077,943,667.7731482698582
9,1077,946,667.4836403056979
10,1077,973,666.9208746701479
11,1077,982,665.8996818559244
12,1077,990,667.4753786763176
13,1077,986,667.1081012240611
14,1077,993,667.6674461900257
15,1077,1004,667.5352915097028
16,1077,1009,667.1008078218438
17,1077,1013,668.1299408469349
18,1077,1017,667.8525816588663
19,1077,1020,668.8106567277573
20,1077,1022,667.3362155370414
21,1077,1030,669.3088022209704
22,1077,1033,667.2525556031615
23,1077,1032,667.7419641702436
24,1077,1040,667.0549215390347
25,1077,1038,665.4334670989774
26,1077,1040,667.2646708409302
27,1077,1044,667.3359825639054
28,1077,1044,667.3987185899168
29,1077,1049,666.2462266399525
30,1077,1048,667.369910041336
31,1077,1051,667.0220107138157
32,1077,1053,667.9076398666948
33,1077,1051,666.5385612649843
34,1077,1052,667.4509081859142
35,1077,1056,667.3646387490444
36,1077,1054,666.6000355267897
37,1077,1056,666.1975870532915
38,1077,1059,666.5378541257232
39,1077,1059,666.1142892385833
40,1077,1057,667.7615226493217
41,1077,1061,666.589402301237
42,1077,1060,666.6477552801371
43,1077,1060,666.7063696607947
44,1077,1062,666.8647039528005
45,1077,1064,666.8191729760729
46,1077,1062,667.18965233583
47,1077,1064,666.28401786834
48,1077,1067,666.3936235960573
49,1077,1069,666.6130830836482
50,1077,1069,667.4437128799036
51,1077,1070,667.1208033380099
52,1077,1069,667.3313706689514
53,1077,1071,667.2183460141532
54,1077,1071,666.4609555443749
55,1077,1071,666.8322300938889
56,1077,1071,666.8069545412436
57,1077,1072,667.2408208251
58,1077,1071,667.5155262066983
59,1077,1073,666.5032417322509
60,1077,1075,667.0594678297639
61,1077,1073,667.7869574413635
62,1077,1073,668.3720590220764
63,1077,1075,668.3672257992439
64,1077,1075,667.354092775844
65,1077,1075,668.505163687747
66,1077,1075,669.5526559907012
67,1077,1074,667.855751299765
68,1077,1076,666.4791602492332
69,1077,1074,668.8105432158336
70,1077,1076,667.7150921109132
71,1077,1075,667.5577976880595
72,1077,1075,668.1329405340366
73,1077,1076,667.8203973327763
74,1077,1076,666.6842802911997
75,1077,1075,669.5985689689405
76,1077,1077,667.7076698690653
77,1077,1077,666.9980545220897
78,1077,1077,668.5307161640376
79,1077,1077,668.3742984146811
80,1077,1077,670.0649550319649
81,1077,1077,668.4266212158836
82,1077,1076,668.7646448151208
83,1077,1077,666.8851224081591
84,1077,1077,669.6726799639873
85,1077,1077,666.7652489142492
86,1077,1077,666.99042761093
87,1077,1077,668.3273023739457
88,1077,1077,668.0420336052775
89,1077,1077,668.3042038870044
90,1077,1077,666.8412593840621
91,1077,1077,668.1097538038157
92,1077,1077,666.8353111729957
93,1077,1077,667.6235161032528
94,1077,1077,668.1229365989566
95,1077,1077,668.0914078890346
96,1077,1077,670.4090665089898
97,1077,1077,668.1961087500677
98,1077,1077,668.1367014939897
99,1077,1077,668.9725987589918
