Epoch,Num trials,Number correct,Time
0,1077,194,611.4918765079929
1,1077,413,611.4668462490081
2,1077,560,611.5732898699935
3,1077,658,611.8773082380067
4,1077,656,611.5873852930381
5,1077,662,611.703595843981
6,1077,717,611.6984709700337
7,1077,787,611.6199090660084
8,1077,764,611.5560863259598
9,1077,722,611.562600463978
10,1077,873,611.6147217639955
11,1077,787,611.6779245529906
12,1077,921,611.7130791419768
13,1077,908,611.700373729982
14,1077,796,611.6976202549995
15,1077,943,611.6751315969741
16,1077,962,611.6651352079934
17,1077,957,611.6936109880335
18,1077,972,611.6909824769828
19,1077,973,611.726449521957
20,1077,978,611.7533750079456
21,1077,1006,611.69000129099
22,1077,985,611.6885671479977
23,1077,1005,611.6861751060351
24,1077,1004,611.7298685580026
25,1077,921,611.727142497024
26,1077,1014,611.7160419669817
27,1077,1015,611.6936185359955
28,1077,1020,611.6949634289485
29,1077,1021,611.7404185629566
30,1077,1033,611.6737663209788
31,1077,1029,611.7073295289883
32,1077,1024,611.6966792839812
33,1077,989,611.7565179770463
34,1077,973,611.7350970230182
35,1077,970,611.7510495850001
36,1077,945,611.7624049769947
37,1077,974,611.740911928995
38,1077,987,611.7381481020129
39,1077,969,611.7435461910209
40,1077,953,611.7257526629837
41,1077,951,611.7004099179758
42,1077,900,611.7732385670533
43,1077,940,611.7249570399872
44,1077,975,611.712150686013
45,1077,846,611.7276064910111
46,1077,945,611.7649301950005
47,1077,913,611.7559670589981
48,1077,925,611.7492360899923
49,1077,933,611.750063664047
50,1077,892,611.7713853229652
51,1077,975,611.752929195005
52,1077,994,611.7279932889505
53,1077,940,611.7306127300253
54,1077,940,611.9531140550389
55,1077,988,611.7523508800077
56,1077,962,611.7295066599618
57,1077,993,611.7488366339821
58,1077,1022,611.7596603899729
59,1077,988,611.7043171600089
60,1077,973,611.970165450999
61,1077,987,611.7496401270037
62,1077,994,611.7510944299866
63,1077,1001,611.810817644
64,1077,935,611.7801627530134
65,1077,928,611.7553539500223
66,1077,972,611.7449343869812
67,1077,935,611.7664545580046
68,1077,941,611.7474133899668
69,1077,978,611.7366700799903
70,1077,982,611.7639303649776
71,1077,939,611.7202961380244
72,1077,997,611.7123994280118
73,1077,1000,611.7317700339481
74,1077,982,611.7893256230163
75,1077,975,611.7409217460081
76,1077,995,611.7718641189858
77,1077,981,611.7675329490448
78,1077,948,611.7842843540129
79,1077,1001,612.0007880890043
80,1077,1010,611.7592974790023
81,1077,1010,611.8008386900183
82,1077,988,611.7826300699962
83,1077,1018,611.7691620989935
84,1077,958,611.7674560880405
85,1077,950,611.812409495993
86,1077,1015,611.7722597859683
87,1077,986,611.7910263770027
88,1077,998,611.8174943699851
89,1077,946,611.7804397139698
90,1077,972,611.7714910109644
91,1077,971,611.7728884630487
92,1077,1007,611.7584167679888
93,1077,1036,611.7226897560176
94,1077,1018,611.7978370220517
95,1077,1055,611.7594491220079
96,1077,1049,611.7688921939698
97,1077,1054,611.7696898789727
98,1077,1060,611.946901103016
99,1077,1057,611.7938128000242
