Epoch,Num trials,Number correct,Time
0,1077,131,785.8321813599978
1,1077,388,785.8087558919942
2,1077,559,785.8389321150025
3,1077,647,785.7526581130005
4,1077,643,785.8129953229945
5,1077,700,785.7634184089984
6,1077,747,785.7654955539983
7,1077,775,785.884286722001
8,1077,728,785.885898100998
9,1077,835,785.7691096100025
10,1077,892,785.7654274419983
11,1077,867,785.8261677669943
12,1077,894,785.8131344180001
13,1077,904,785.8101251940097
14,1077,916,785.9282189799997
15,1077,946,785.844274463001
16,1077,901,785.8079579040059
17,1077,929,785.7896409990062
18,1077,924,785.7678791859944
19,1077,969,785.7917825059994
20,1077,963,785.7803685740073
21,1077,979,785.7685820810002
22,1077,962,785.6431974819861
23,1077,967,785.7276899479912
24,1077,923,785.688721753002
25,1077,965,785.8442202669976
26,1077,947,785.8532772199978
27,1077,985,785.8404109010007
28,1077,999,785.97499899799
29,1077,1009,785.8850027489971
30,1077,1009,785.8781401120068
31,1077,1014,785.9891594059882
32,1077,1020,785.9433796810044
33,1077,1014,785.8915714579925
34,1077,1027,785.853366424999
35,1077,1021,785.8153956489987
36,1077,1032,785.7957626610005
37,1077,1035,785.7890752630046
38,1077,1036,785.7543151909922
39,1077,1037,785.7517192000087
40,1077,1038,785.8650711509981
41,1077,1039,785.8428484790056
42,1077,1044,785.8377201749972
43,1077,1039,785.8440267939877
44,1077,1046,785.8564477990003
45,1077,1045,785.7648267070035
46,1077,1042,785.6948776740028
47,1077,1038,785.721268704001
48,1077,1040,785.7994302599982
49,1077,1015,785.7958185629977
50,1077,1021,785.7226614569954
51,1077,1041,785.7438308489945
52,1077,1053,785.7559237849928
53,1077,1054,785.7700700819987
54,1077,1050,785.7774791659904
55,1077,1054,785.7333110830077
56,1077,1056,785.8269932559924
57,1077,1058,785.8158622699993
58,1077,1056,785.7971856929944
59,1077,1058,785.9580694900069
60,1077,1058,785.765199417001
61,1077,1059,785.8270447990071
62,1077,1064,785.6492131240084
63,1077,1065,785.6687842380052
64,1077,1064,785.6400075300044
65,1077,1066,785.7015160139999
66,1077,1063,785.7473069599946
67,1077,1067,785.8072624089982
68,1077,1067,785.6919801460026
69,1077,1066,785.7803608179966
70,1077,1067,785.8279665859882
71,1077,1067,785.8451497060014
72,1077,1068,785.7811632149969
73,1077,1067,785.9878438430023
74,1077,1067,785.9115657750081
75,1077,1069,785.7999731379969
76,1077,1067,786.1167676439945
77,1077,1068,785.8518126019917
78,1077,1068,785.8742662120058
79,1077,1068,785.7387237129878
80,1077,1070,785.7853166190034
81,1077,1068,785.7533817630028
82,1077,1070,785.7962083680031
83,1077,1071,785.7152479920042
84,1077,1068,785.8166438990011
85,1077,1072,785.8541171409888
86,1077,1068,785.8475467160024
