Epoch,Num trials,Number correct,Time
0,1077,188,743.439431944862
1,1077,475,743.3248997610062
2,1077,677,743.4044756442308
3,1077,689,743.5049107782543
4,1077,763,743.527453687042
5,1077,825,743.4763167444617
6,1077,923,744.1982392892241
7,1077,923,743.5819529742002
8,1077,927,744.1592980977148
9,1077,955,744.8408266939223
10,1077,981,744.9964973200113
11,1077,995,744.05754776299
12,1077,987,744.3158403877169
13,1077,980,744.1391032207757
14,1077,1003,744.218106597662
15,1077,1004,744.7621859237552
16,1077,997,744.075153240934
17,1077,1010,744.9435269590467
18,1077,1015,744.5037884954363
19,1077,1024,744.736634824425
20,1077,1020,744.3532365057617
21,1077,1029,744.2463073711842
22,1077,1032,745.1936476249248
23,1077,1034,744.453184351325
24,1077,1038,745.1216054987162
25,1077,1041,745.2894257456064
26,1077,1044,745.4165359083563
27,1077,1043,744.5487651526928
28,1077,1051,746.2031762562692
29,1077,1048,744.5787303354591
30,1077,1051,745.3327655680478
31,1077,1051,744.690928151831
32,1077,1052,745.199192436412
33,1077,1053,744.0377793349326
34,1077,1053,744.5150904580951
35,1077,1056,744.2328304164112
36,1077,1057,744.4801641274244
37,1077,1057,744.8072109762579
38,1077,1058,744.4966017138213
39,1077,1061,744.9449563212693
40,1077,1062,744.3914511762559
41,1077,1061,744.1118533201516
42,1077,1063,744.9901881050318
43,1077,1063,744.783482812345
44,1077,1062,745.5804701130837
45,1077,1063,745.2477438356727
46,1077,1066,745.672690756619
47,1077,1067,745.5837851893157
48,1077,1064,745.8872811943293
49,1077,1067,744.2280884031206
50,1077,1067,746.1374035831541
51,1077,1069,745.7137899845839
52,1077,1069,745.0042351391166
53,1077,1069,745.0772572029382
54,1077,1071,746.640785926953
55,1077,1070,746.2572752628475
56,1077,1072,746.1844521258026
57,1077,1072,745.0062214676291
58,1077,1072,744.5092077981681
59,1077,1072,745.4416423309594
60,1077,1073,744.8474606871605
61,1077,1073,744.9689060114324
62,1077,1072,744.7714494690299
63,1077,1074,745.302503619343
64,1077,1073,745.5562320835888
65,1077,1071,746.1285949200392
66,1077,1074,746.9314420409501
67,1077,1073,746.2438519820571
68,1077,1074,745.3105924427509
69,1077,1076,745.2957788668573
70,1077,1075,745.1539705414325
71,1077,1075,745.5944003555924
72,1077,1077,746.8944375384599
73,1077,1076,746.0993376336992
74,1077,1076,744.65005983226
75,1077,1077,744.8096530847251
76,1077,1076,744.6200838647783
77,1077,1077,744.9289236646146
78,1077,1077,745.4018517080694
79,1077,1077,744.7627418152988
80,1077,1077,745.1038338690996
81,1077,1077,746.2565752919763
82,1077,1077,745.4902014434338
83,1077,1077,745.118411431089
84,1077,1077,744.8230386376381
85,1077,1077,745.0299763716757
86,1077,1077,745.6083400342613
87,1077,1077,745.5269860811532
88,1077,1077,747.0078864973038
89,1077,1077,746.565343638882
90,1077,1077,745.3362977970392
91,1077,1077,747.3582172170281
92,1077,1077,746.3016327545047
93,1077,1077,746.1524746809155
94,1077,1077,746.2695127390325
95,1077,1077,746.9084275849164
96,1077,1077,745.3975803498179
97,1077,1077,746.7786031998694
98,1077,1077,746.0276940967888
99,1077,1077,748.717406630516
