Epoch,Num trials,Number correct,Time
0,1077,143,546.9774523167871
1,1077,245,547.2142978911288
2,1077,467,546.5824660831131
3,1077,467,546.053499027621
4,1077,616,544.9650382543914
5,1077,602,544.2618710556999
6,1077,665,546.9099638038315
7,1077,682,545.0071870782413
8,1077,740,548.5771541716531
9,1077,728,548.8179892972112
10,1077,756,548.5324716018513
11,1077,795,548.8657449097373
12,1077,830,549.0036655389704
13,1077,879,548.668365187943
14,1077,912,548.8091672761366
15,1077,937,548.9900601441041
16,1077,970,549.4634596710093
17,1077,982,549.2982434900478
18,1077,988,549.2695182967
19,1077,985,548.8122491212562
20,1077,1011,548.6644279588945
21,1077,1006,549.467365370132
22,1077,1011,549.4200956337154
23,1077,1009,548.8684799377806
24,1077,1013,548.8757040170021
25,1077,1028,548.8387382635847
26,1077,1033,548.7831056830473
27,1077,1028,549.3240071390755
28,1077,1037,549.295627550222
29,1077,1032,549.0172112090513
30,1077,997,548.6764317164198
31,1077,1024,549.2656939500012
32,1077,1029,548.8764352509752
33,1077,1014,548.6990041700192
34,1077,1033,548.4275066610426
35,1077,1036,548.140762432944
36,1077,1037,548.5046195467003
37,1077,1051,547.7145538660698
38,1077,1043,548.6051136837341
39,1077,1047,546.8184150052257
40,1077,1048,547.9294357891195
41,1077,1054,546.5727231861092
42,1077,1054,546.4139530519024
43,1077,1043,547.0549264517613
44,1077,1062,547.327849346213
45,1077,1058,546.5152870249003
46,1077,1048,547.2452103639953
47,1077,1058,546.8524192087352
48,1077,1060,546.4700041608885
49,1077,1051,546.0007421490736
50,1077,1066,546.0079770679586
51,1077,1062,545.5453022569418
52,1077,1067,545.3746516378596
53,1077,1069,545.618144725915
54,1077,1067,545.6552707459778
55,1077,1062,545.8767029191367
56,1077,1063,545.6366599579342
57,1077,1066,545.6563173080795
58,1077,1063,545.5884780152701
59,1077,1056,545.6014654040337
60,1077,1063,546.1966020492837
61,1077,1065,545.5375579362735
62,1077,1072,545.432080285158
63,1077,1066,545.7117448206991
64,1077,1070,546.1417856737971
65,1077,1067,545.6909476583824
66,1077,1069,545.5654203412123
67,1077,1075,545.5665096570738
68,1077,1069,545.6903007212095
69,1077,1073,545.4062071498483
70,1077,1072,545.7350890059024
71,1077,1073,545.7332038637251
72,1077,1072,545.4593343208544
73,1077,1074,545.5651619583368
74,1077,1076,545.4328088779002
75,1077,1070,545.6531664980575
76,1077,1069,545.4663719139062
77,1077,1073,545.2623814372346
78,1077,1071,545.1400659149513
79,1077,1066,545.3905416778289
80,1077,1076,545.1700481437147
81,1077,1072,544.8839888651855
82,1077,1069,544.8425620570779
83,1077,1075,544.9581275624223
84,1077,1074,544.9203703608364
85,1077,1073,544.6582455453463
86,1077,1076,544.9554035109468
87,1077,1072,544.9843374318443
88,1077,1076,545.1336858300492
89,1077,1073,545.2826893362217
90,1077,1076,545.1801984841004
91,1077,1075,545.0539467423223
92,1077,1073,544.9837977141142
93,1077,1076,544.9632622180507
94,1077,1076,545.0571294422261
95,1077,1073,544.9792592260055
96,1077,1075,545.2061057430692
97,1077,1075,545.1649848539382
98,1077,1076,545.1449888027273
99,1077,1076,544.7330654915422
