Epoch,Num trials,Number correct,Time
0,1077,277,550.0753075369867
1,1077,554,550.1166490960168
2,1077,677,550.1280806639697
3,1077,693,550.1024584990228
4,1077,856,550.1372465789318
5,1077,895,550.1470118409488
6,1077,929,550.0889592209132
7,1077,966,550.1394481690368
8,1077,972,550.0818087030202
9,1077,959,550.0925778549863
10,1077,981,550.1045258520171
11,1077,1003,550.1144167230232
12,1077,1003,550.2862386628985
13,1077,1008,550.138249806012
14,1077,1013,550.107415634091
15,1077,1024,550.1170399169205
16,1077,1027,550.0853987169685
17,1077,1024,550.1251648570178
18,1077,1030,550.1256699659862
19,1077,1043,550.1378193559358
20,1077,1042,550.105612019077
21,1077,1046,550.0912575129187
22,1077,1054,550.0998002650449
23,1077,1059,550.1148330400465
24,1077,1060,550.1123534590006
25,1077,1057,550.07867162209
26,1077,1058,550.0921459440142
27,1077,1062,550.0897136488929
28,1077,1064,550.0792856720509
29,1077,1065,550.1058087070705
30,1077,1064,550.0945419790223
31,1077,1066,550.2703075269237
32,1077,1065,550.086996142054
33,1077,1065,550.103355256957
34,1077,1066,550.1021622900153
35,1077,1065,550.0718604099238
36,1077,1065,550.117529693991
37,1077,1067,550.1142943920568
38,1077,1068,550.0995677580358
39,1077,1069,550.0926009790273
40,1077,1069,550.1371752769919
41,1077,1070,550.0838211760856
42,1077,1071,550.0926784769399
43,1077,1070,550.0898608890129
44,1077,1071,550.0992188099772
45,1077,1069,550.082308514975
46,1077,1070,550.1124953259714
47,1077,1071,550.2516923060175
48,1077,1072,550.0889625720447
49,1077,1073,550.1006471910514
50,1077,1073,550.1168962119846
51,1077,1073,550.0966705720639
52,1077,1074,550.0850697429851
53,1077,1075,550.1130694190506
54,1077,1075,550.1032167390222
55,1077,1074,550.0886946860701
56,1077,1076,550.1001369250007
57,1077,1075,550.1008421600563
58,1077,1075,550.1264123150613
59,1077,1077,550.0958009599708
60,1077,1077,550.1179372409824
61,1077,1077,550.1194659270113
62,1077,1077,550.0923336260021
63,1077,1077,550.0975897749886
64,1077,1077,550.1257117179921
65,1077,1077,550.082895613974
66,1077,1077,550.1079703039723
67,1077,1077,550.0805979629513
68,1077,1077,550.10465307103
69,1077,1077,550.0885835130466
70,1077,1077,550.1079142770031
71,1077,1077,550.0872646450298
72,1077,1077,550.1450202210108
73,1077,1077,550.0943329890724
74,1077,1077,550.1004210109822
75,1077,1077,550.4133468359942
76,1077,1077,550.0688101749402
77,1077,1077,550.1082020429894
78,1077,1077,550.0940536670387
79,1077,1077,550.0883509760024
80,1077,1077,550.093448326923
81,1077,1077,550.0935477390885
82,1077,1077,550.127191939042
83,1077,1077,550.0909228470409
84,1077,1077,550.0976101940032
85,1077,1077,550.088669213932
86,1077,1077,550.1117483819835
87,1077,1077,550.1221212910023
88,1077,1077,550.0902786479564
89,1077,1077,550.0980560590979
90,1077,1077,550.1053937920369
91,1077,1077,550.1054808039917
92,1077,1077,550.0907783490838
93,1077,1077,550.0672910800204
94,1077,1077,550.2947668080451
95,1077,1077,550.0906295970781
96,1077,1077,550.1202582829865
97,1077,1077,550.101415726007
98,1077,1077,550.0978583489778
99,1077,1077,550.1086524249986
