Epoch,Num trials,Number correct,Time
0,1077,157,575.3147849729285
1,1077,481,574.9408496031538
2,1077,552,574.997795142699
3,1077,722,575.1245835428126
4,1077,728,575.0025745406747
5,1077,726,574.8790527689271
6,1077,831,577.0059503479861
7,1077,824,575.4227658179589
8,1077,933,575.0733054499142
9,1077,935,575.0350460470654
10,1077,940,574.9583722632378
11,1077,960,575.0744630992413
12,1077,990,575.2400376270525
13,1077,985,575.6313868938014
14,1077,993,575.5621457626112
15,1077,992,575.0530153969303
16,1077,1006,575.1189092337154
17,1077,1009,574.9954982320778
18,1077,1010,574.8310439549387
19,1077,1018,574.8877127906308
20,1077,1022,575.3220621221699
21,1077,1027,577.1259913519025
22,1077,1031,575.0723038832657
23,1077,1036,574.9557488849387
24,1077,1042,574.9736128989607
25,1077,1044,574.9900739602745
26,1077,1048,574.9122149138711
27,1077,1047,574.9904359146021
28,1077,1053,575.5260818600655
29,1077,1054,575.3992639337666
30,1077,1058,575.0139386588708
31,1077,1057,574.9936565039679
32,1077,1059,574.9841928281821
33,1077,1062,575.088001457043
34,1077,1064,575.0537588610314
35,1077,1063,575.0699156732298
36,1077,1062,575.5714274370112
37,1077,1063,575.1637977529317
38,1077,1063,575.0993224810809
39,1077,1063,574.8408436528407
40,1077,1066,574.9061763780192
41,1077,1063,575.0953197130002
42,1077,1066,575.1349607929587
43,1077,1068,575.8907571570016
44,1077,1066,575.0017184922472
45,1077,1069,575.1029317751527
46,1077,1068,575.1191033823416
47,1077,1069,574.8870661398396
48,1077,1071,574.9997408874333
49,1077,1070,575.1168129588477
50,1077,1071,575.0210139779374
51,1077,1073,576.0105997677892
52,1077,1071,575.0593647733331
53,1077,1072,574.9358121766709
54,1077,1073,575.0757330399938
55,1077,1072,575.2095811450854
56,1077,1074,575.2721208967268
57,1077,1075,574.9047042289749
58,1077,1073,575.5255199531093
59,1077,1074,575.144607481081
60,1077,1074,575.1008093780838
61,1077,1073,574.884293391835
62,1077,1075,575.0526377633214
63,1077,1076,575.2187921362929
64,1077,1075,575.0494976611808
65,1077,1076,575.0156144551001
66,1077,1076,575.4253602330573
67,1077,1076,575.2505747950636
68,1077,1076,575.159115428105
69,1077,1076,576.8565651322715
70,1077,1077,575.1084899581037
71,1077,1076,575.3137795198709
72,1077,1077,575.2207436948083
73,1077,1075,575.0955789950676
74,1077,1077,575.503815615084
75,1077,1077,575.2170526729897
76,1077,1077,575.1804855349474
77,1077,1077,575.0792852640152
78,1077,1077,574.9954552561976
79,1077,1077,575.2126548630185
80,1077,1077,575.3004441838712
81,1077,1077,575.0629296931438
82,1077,1077,575.7329318341799
83,1077,1077,575.0358445537277
84,1077,1077,575.1949629648589
85,1077,1077,575.1666843639687
86,1077,1077,575.0023425077088
87,1077,1077,575.333077322226
88,1077,1077,575.2699684351683
89,1077,1077,575.1171869169921
90,1077,1077,575.8931723199785
91,1077,1077,575.0639408021234
92,1077,1077,575.0153192309663
93,1077,1077,574.99801706383
94,1077,1077,575.1417451440357
95,1077,1077,574.8885372732766
96,1077,1077,574.9879971640185
97,1077,1077,575.1590868313797
98,1077,1077,575.3606954230927
99,1077,1077,574.9523191810586
