Epoch,Num trials,Number correct,Time
0,1077,196,532.4141015149653
1,1077,559,535.6257912982255
2,1077,644,534.17479804717
3,1077,746,535.9751844480634
4,1077,703,534.2873831614852
5,1077,760,532.3471284024417
6,1077,866,531.7825676705688
7,1077,872,532.631737396121
8,1077,930,535.2179670836776
9,1077,936,533.977935988456
10,1077,964,535.0175143554807
11,1077,976,532.8897688444704
12,1077,1016,534.6268487405032
13,1077,1001,533.2454535085708
14,1077,1027,534.1274799909443
15,1077,1033,534.6769996844232
16,1077,1028,532.7829968184233
17,1077,1042,534.8711390253156
18,1077,1044,533.0743663292378
19,1077,1038,535.1449359990656
20,1077,1049,533.1861006747931
21,1077,1049,533.6263895183802
22,1077,1049,533.9349236004055
23,1077,1053,533.2906192261726
24,1077,1057,534.4963804483414
25,1077,1057,533.243667377159
26,1077,1059,534.376673610881
27,1077,1058,533.4156423676759
28,1077,1061,533.5574447140098
29,1077,1063,533.8125084470958
30,1077,1061,534.5894216801971
31,1077,1065,534.4924668967724
32,1077,1066,532.7020866386592
33,1077,1067,534.3968640845269
34,1077,1068,532.290732095018
35,1077,1070,535.6654672399163
36,1077,1072,533.5381404720247
37,1077,1071,534.3948280364275
38,1077,1072,533.9546314887702
39,1077,1072,533.2138929646462
40,1077,1071,534.4323129896075
41,1077,1072,532.6949222609401
42,1077,1072,535.2353262845427
43,1077,1073,533.9690698441118
44,1077,1072,536.2959839180112
45,1077,1072,534.2011060621589
46,1077,1072,535.0960896555334
47,1077,1073,535.5740548148751
48,1077,1074,534.0732461921871
49,1077,1074,536.2280343323946
50,1077,1074,532.9555555339903
51,1077,1074,535.4907864443958
52,1077,1075,534.1559571623802
53,1077,1075,535.0050496794283
54,1077,1075,536.1742980387062
55,1077,1075,534.6529020201415
56,1077,1075,536.3343715239316
57,1077,1076,534.6748968679458
58,1077,1075,536.228596849367
59,1077,1075,533.4485463593155
60,1077,1076,532.5761258341372
61,1077,1076,532.3986929748207
62,1077,1076,533.1063951347023
63,1077,1076,537.345731427893
64,1077,1076,534.0741007942706
65,1077,1075,535.3486986141652
66,1077,1076,534.1432955898345
67,1077,1076,535.2459482047707
68,1077,1075,534.4727587606758
69,1077,1076,534.2986671533436
70,1077,1076,535.1113505568355
71,1077,1076,534.3490209709853
72,1077,1076,535.8097600396723
73,1077,1076,533.6062491890043
74,1077,1076,536.2430500350893
75,1077,1077,533.9060718137771
76,1077,1077,535.6083707734942
77,1077,1077,534.060329888016
78,1077,1077,534.7025096490979
79,1077,1077,535.8310785684735
80,1077,1077,533.6868804171681
81,1077,1077,535.9363713730127
82,1077,1077,533.6078491080552
83,1077,1077,535.63396092318
84,1077,1077,535.7139002345502
85,1077,1077,536.2827553171664
86,1077,1077,535.621301908046
87,1077,1077,535.0259628798813
88,1077,1077,536.2354626078159
89,1077,1077,535.733978221193
90,1077,1077,534.9819785188884
91,1077,1077,535.5342302825302
92,1077,1077,535.6602906696498
93,1077,1077,534.6870460808277
94,1077,1077,534.8691984359175
95,1077,1077,536.0801256336272
96,1077,1077,535.2436400726438
97,1077,1077,535.9992092717439
98,1077,1077,535.2742314208299
99,1077,1077,534.8611280359328
