Epoch,Num trials,Number correct,Time
0,1077,328,372.55600435996894
1,1077,641,372.5088471970521
2,1077,678,372.57334494392853
3,1077,763,372.5654491781024
4,1077,869,372.53747390198987
5,1077,836,372.5351270339452
6,1077,928,372.5706700690789
7,1077,945,372.55020213103853
8,1077,1000,372.52865943091456
9,1077,1005,372.5078097550431
10,1077,1016,372.52662985608913
11,1077,1031,372.5188171019545
12,1077,1042,372.51142806897406
13,1077,1048,372.5226692260476
14,1077,1047,372.53971848997753
15,1077,1049,372.5189787510317
16,1077,1057,372.5159332299372
17,1077,1059,372.5296137880068
18,1077,1057,372.5339112749789
19,1077,1062,372.5252759590512
20,1077,1064,372.54310653195716
21,1077,1063,372.5709630639758
22,1077,1064,372.55510732205585
23,1077,1069,372.5562631749781
24,1077,1069,372.5250147349434
25,1077,1066,372.5137348449789
26,1077,1071,372.53656403603964
27,1077,1072,372.551992931054
28,1077,1070,372.5213442280656
29,1077,1071,372.5147202570224
30,1077,1074,372.5651000990765
31,1077,1073,372.5413894499652
32,1077,1074,372.52724212093744
33,1077,1075,372.5551594350254
34,1077,1075,372.5540133169852
35,1077,1075,372.5096155210631
36,1077,1075,372.50504949397873
37,1077,1075,372.55598214489873
38,1077,1075,372.51713363593444
39,1077,1074,372.5236206459813
40,1077,1075,372.539559258963
41,1077,1075,372.5057191440137
42,1077,1075,372.54617211793084
43,1077,1076,372.53070057497825
44,1077,1075,372.53968584304675
45,1077,1076,372.5435119960457
46,1077,1076,372.54789014405105
47,1077,1076,372.53176474105567
48,1077,1076,372.54410464607645
49,1077,1076,372.5509607930435
50,1077,1076,372.5455929370364
51,1077,1076,372.5547957860399
52,1077,1076,372.5348354789894
53,1077,1077,372.52792179898825
54,1077,1076,372.534807345015
55,1077,1076,372.52299206797034
56,1077,1077,372.5172048030654
57,1077,1076,373.78030503098853
58,1077,1076,372.53402376698796
59,1077,1077,372.55150980397593
60,1077,1077,372.7265000799671
61,1077,1077,372.50706352095585
62,1077,1077,372.5570377339609
63,1077,1077,372.5592698690016
64,1077,1077,372.5336238628952
65,1077,1077,372.53330060106236
66,1077,1077,372.5287370040314
67,1077,1077,372.556669644895
68,1077,1077,372.58618060697336
69,1077,1076,372.5845081759617
70,1077,1077,372.55124539800454
71,1077,1077,372.531704224064
72,1077,1077,372.56802029302344
73,1077,1077,372.5017753710272
74,1077,1077,372.56752126303036
75,1077,1077,372.5591314310441
76,1077,1077,372.52982413303107
77,1077,1077,372.5454648779705
78,1077,1077,372.53789146395866
79,1077,1077,372.5435264511034
80,1077,1077,372.5573892220855
81,1077,1077,372.53530158801004
82,1077,1077,372.52976475900505
83,1077,1077,372.5677196449833
84,1077,1077,372.49603961000685
85,1077,1077,372.52892290300224
86,1077,1076,372.55853335000575
87,1077,1076,372.5392595520243
88,1077,1077,372.549599400023
89,1077,1077,372.55821401497815
90,1077,1077,372.55831658106763
91,1077,1077,372.55170649895445
92,1077,1077,372.5499117729487
93,1077,1077,372.5596372439759
94,1077,1077,372.5502695440082
95,1077,1077,372.5776470520068
96,1077,1076,372.5623590759933
97,1077,1076,372.5714299730025
98,1077,1076,372.51796382607426
99,1077,1076,372.57036542799324
