Epoch,Num trials,Number correct,Time
0,1077,286,464.8720717469696
1,1077,487,464.97904583101626
2,1077,572,464.91274512698874
3,1077,626,464.94293539901264
4,1077,691,464.88507474504877
5,1077,741,464.9351253240602
6,1077,677,464.94987443101127
7,1077,818,464.9437059800839
8,1077,841,464.90832220192533
9,1077,910,464.91320515598636
10,1077,885,464.8926261110464
11,1077,949,464.86744230799377
12,1077,994,464.92628013307694
13,1077,1013,464.9090373229701
14,1077,1009,464.9595637359889
15,1077,1014,465.07221577502787
16,1077,1029,464.9163444190053
17,1077,1037,464.89029401296284
18,1077,1043,464.86995410197414
19,1077,1047,464.91297517798375
20,1077,1049,464.8980979700573
21,1077,1049,464.9119776689913
22,1077,1049,464.9325282359496
23,1077,1052,464.9150302039925
24,1077,1055,464.9064581160201
25,1077,1056,464.9021874999162
26,1077,1058,464.8981251929654
27,1077,1060,464.9533619080903
28,1077,1060,464.9054790280061
29,1077,1057,464.9438675659476
30,1077,1061,464.8998820539564
31,1077,1063,464.92591914290097
32,1077,1064,464.90154080698267
33,1077,1064,464.8876404829789
34,1077,1065,464.92371759703383
35,1077,1067,464.9087546020746
36,1077,1067,464.88545068202075
37,1077,862,465.08263911295217
38,1077,968,465.1361331579974
39,1077,1024,465.14090703998227
40,1077,992,465.1124416170642
41,1077,1029,465.06465570197906
42,1077,1033,465.09088877402246
43,1077,1060,465.11125520896167
44,1077,1049,465.08510903292336
45,1077,1063,465.1102928869659
46,1077,1068,465.12592808692716
47,1077,1059,465.0948523400584
48,1077,1062,465.06438254599925
49,1077,1057,465.07398936594836
50,1077,1065,465.10746483597904
51,1077,1067,465.0544630740769
52,1077,1060,465.03665645304136
53,1077,1069,465.06568525603507
54,1077,1067,465.04537982295733
55,1077,1065,465.0439038230106
56,1077,1061,465.06867554597557
57,1077,1073,465.0358681399375
58,1077,1071,465.06872638408095
59,1077,1073,465.2789506469853
60,1077,1073,465.0670461510308
61,1077,1073,465.0770603179699
62,1077,1072,465.01122571900487
63,1077,1072,465.07843488897197
64,1077,1074,465.0738677419722
65,1077,1074,465.1034320190083
66,1077,1073,465.0645290919347
67,1077,1075,465.09206014696974
68,1077,1073,465.0541591489455
69,1077,1073,465.0753341380041
70,1077,1075,465.0651074919151
71,1077,1075,465.06547482695896
72,1077,1074,465.08556556806434
73,1077,1076,465.0616165130632
74,1077,1076,465.09604108997155
75,1077,1074,465.07302957889624
76,1077,1076,465.0880470840493
77,1077,1077,465.05504227709025
78,1077,1075,465.06104149192106
79,1077,1076,465.03305141604505
80,1077,1077,465.0678714190144
81,1077,1075,465.1220342689194
82,1077,1075,465.07821812597103
83,1077,1077,465.1290002829628
84,1077,1073,465.1013565630419
85,1077,1077,465.086111448938
86,1077,1077,465.0862700060243
87,1077,1076,465.08614354010206
88,1077,1075,465.0787846579915
89,1077,1076,465.0801324630156
90,1077,1075,465.06123878003564
91,1077,1076,465.07392868201714
92,1077,1076,465.26365983497817
93,1077,1074,465.0606861189008
94,1077,1077,465.0804234739626
95,1077,1076,465.09092668199446
96,1077,1077,465.04223676398396
97,1077,1076,465.11539340403397
98,1077,1076,465.091004744987
99,1077,1077,465.09594809496775
